CaseNo,img_section A,img_section B,img_section C,img_section D,img_section E,img_section F,img_section G,img_section H,cost,CO2,install_duration
0,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,671246257.2,192.08,371.8845
1,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,681233081.77,189.71820000000002,356.7757
2,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,684091153.1400001,188.82500000000002,357.8691
3,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,677885385.6400001,190.50990000000002,361.84029999999996
4,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,687872210.21,188.14810000000003,346.7315
5,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,690730281.58,187.25490000000002,347.82489999999996
6,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,679785399.28,189.9161,362.56719999999996
7,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,689772223.85,187.5543,347.4584
8,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,692630295.22,186.6611,348.55179999999996
9,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.6.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,671771989.4200001,192.2692,372.25739999999996
