CaseNo,type,slope,class armour,B,Rc,cost,CO2,install_duration,img
1,CRMR,18.4,11.67 m³,5.0,10.339,234556.4,0.0411,0.27646,CRMR.1.png
103,CRMR,33.7,17.08 m³,5.0,11.148,127651.45,0.0384,0.18588,CRMR.81c.png
104,CRMR,33.7,17.08 m³,6.053,11.148,136494.88999999998,0.0282,0.16795,CRMR.82a.png
105,CRMR,33.7,17.08 m³,6.053,11.148,135020.75,0.0304,0.15054,CRMR.82b.png
106,CRMR,33.7,17.08 m³,6.053,11.148,130250.03,0.039,0.18941,CRMR.82c.png
107,CRMR,33.7,17.08 m³,7.105,11.148,138958.5,0.0287,0.17089,CRMR.83a.png
108,CRMR,33.7,17.08 m³,7.105,11.148,137566.7,0.0309,0.15325999999999998,CRMR.83b.png
109,CRMR,33.7,17.08 m³,7.105,11.148,132848.62,0.0395,0.19295,CRMR.83c.png
102,CRMR,33.7,17.08 m³,5.0,11.148,132474.79,0.0299,0.14781,CRMR.81b.png
110,CRMR,33.7,17.08 m³,8.158,10.682,138767.66999999998,0.0288,0.17019,CRMR.84a.png
112,CRMR,33.7,17.08 m³,8.158,10.682,132864.63999999998,0.0396,0.19398,CRMR.84c.png
113,CRMR,33.7,17.08 m³,9.211,10.34,138706.7,0.029,0.1706,CRMR.85a.png
114,CRMR,33.7,17.08 m³,9.211,10.34,137628.53999999998,0.0312,0.1543,CRMR.85b.png
115,CRMR,33.7,17.08 m³,9.211,10.34,132867.85,0.0398,0.19468,CRMR.85c.png
116,CRMR,33.7,17.08 m³,10.263,9.994,139147.72,0.0291,0.17039,CRMR.86a.png
117,CRMR,33.7,17.08 m³,10.263,9.994,137991.85,0.0315,0.15423,CRMR.86b.png
118,CRMR,33.7,17.08 m³,10.263,9.994,133250.44999999998,0.04,0.195,CRMR.86c.png
111,CRMR,33.7,17.08 m³,8.158,10.682,137606.26,0.031,0.15402000000000002,CRMR.84b.png
119,CRMR,33.7,17.08 m³,11.316,9.645,139710.15,0.0293,0.17168,CRMR.87a.png
