CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
1,CRMR,18.4,11.67 m³,5.0,9.638,249222.54,0.0426,0.28821,CRMR.1.png
103,CRMR,33.7,17.08 m³,5.0,10.339,134253.65,0.0388,0.1978,CRMR.81c.png
104,CRMR,33.7,17.08 m³,6.053,10.339,142290.66999999998,0.0289,0.17717,CRMR.82a.png
105,CRMR,33.7,17.08 m³,6.053,10.339,141090.66,0.0312,0.16063,CRMR.82b.png
106,CRMR,33.7,17.08 m³,6.053,10.339,136898.55,0.0394,0.2014,CRMR.82c.png
107,CRMR,33.7,17.08 m³,7.105,10.339,144774.34,0.0294,0.18019,CRMR.83a.png
108,CRMR,33.7,17.08 m³,7.105,10.339,143656.68,0.0317,0.16343,CRMR.83b.png
109,CRMR,33.7,17.08 m³,7.105,10.339,139543.43,0.0399,0.205,CRMR.83c.png
102,CRMR,33.7,17.08 m³,5.0,10.339,138524.65,0.0307,0.15782,CRMR.81b.png
110,CRMR,33.7,17.08 m³,8.158,9.907,144760.43,0.0295,0.17962,CRMR.84a.png
112,CRMR,33.7,17.08 m³,8.158,9.907,139529.8,0.04,0.20485,CRMR.84c.png
113,CRMR,33.7,17.08 m³,9.211,9.59,145508.16,0.0297,0.18111,CRMR.85a.png
114,CRMR,33.7,17.08 m³,9.211,9.59,144448.32,0.032,0.16436,CRMR.85b.png
115,CRMR,33.7,17.08 m³,9.211,9.59,140359.17,0.0403,0.20666,CRMR.85c.png
116,CRMR,33.7,17.08 m³,10.263,9.269,145559.52000000002,0.0299,0.1816,CRMR.86a.png
117,CRMR,33.7,17.08 m³,10.263,9.269,144582.86000000002,0.0323,0.16472,CRMR.86b.png
118,CRMR,33.7,17.08 m³,10.263,9.269,140468.48,0.0405,0.20747,CRMR.86c.png
111,CRMR,33.7,17.08 m³,8.158,9.907,143617.42,0.0318,0.163,CRMR.84b.png
119,CRMR,33.7,17.08 m³,11.316,8.945,146113.05,0.0301,0.18147,CRMR.87a.png
101,CRMR,33.7,17.08 m³,5.0,10.339,139806.99,0.0284,0.17415,CRMR.81a.png
99,CRMR,30.3,17.08 m³,25.0,4.287,157770.45,0.0374,0.18077,CRMR.80b.png
83,CRMR,30.3,17.08 m³,19.737,6.201,161710.49000000002,0.034,0.20054,CRMR.75a.png
84,CRMR,30.3,17.08 m³,19.737,6.201,160107.09,0.0367,0.18075,CRMR.75b.png
85,CRMR,30.3,17.08 m³,19.737,6.201,155856.22,0.0453,0.23112,CRMR.75c.png
86,CRMR,30.3,17.08 m³,20.789,5.834,161468.32,0.0341,0.19978,CRMR.76a.png
87,CRMR,30.3,17.08 m³,20.789,5.834,160127.53,0.0368,0.18157,CRMR.76b.png
88,CRMR,30.3,17.08 m³,20.789,5.834,155929.4,0.0454,0.23225,CRMR.76c.png
89,CRMR,30.3,17.08 m³,21.842,5.46,161324.49000000002,0.0342,0.20066,CRMR.77a.png
100,CRMR,30.3,17.08 m³,25.0,4.287,153791.0,0.0458,0.23255,CRMR.80c.png
90,CRMR,30.3,17.08 m³,21.842,5.46,160085.90999999997,0.037,0.18234,CRMR.77b.png
92,CRMR,30.3,17.08 m³,22.895,5.078,160371.24,0.0344,0.20043,CRMR.78a.png
93,CRMR,30.3,17.08 m³,22.895,5.078,158954.8,0.0371,0.18056,CRMR.78b.png
94,CRMR,30.3,17.08 m³,22.895,5.078,154864.3,0.0456,0.23182,CRMR.78c.png
95,CRMR,30.3,17.08 m³,23.947,4.687,159922.99000000002,0.0345,0.19951,CRMR.79a.png
96,CRMR,30.3,17.08 m³,23.947,4.687,158773.33000000002,0.0372,0.18122,CRMR.79b.png
97,CRMR,30.3,17.08 m³,23.947,4.687,154737.87,0.0457,0.23275,CRMR.79c.png
98,CRMR,30.3,17.08 m³,25.0,4.287,158813.19999999998,0.0346,0.19916,CRMR.80a.png
91,CRMR,30.3,17.08 m³,21.842,5.46,155941.21,0.0455,0.23332,CRMR.77c.png
82,CRMR,30.3,17.08 m³,18.684,6.562,156748.22,0.0451,0.23245,CRMR.74c.png
120,CRMR,33.7,17.08 m³,11.316,8.945,145110.77000000002,0.0325,0.16469,CRMR.87b.png
122,CRMR,33.7,17.08 m³,12.368,8.617,146788.16,0.0303,0.18284,CRMR.88a.png
143,CRMR,33.7,17.08 m³,19.737,6.201,147908.79,0.0316,0.18551,CRMR.95a.png
144,CRMR,33.7,17.08 m³,19.737,6.201,146588.3,0.0341,0.16718,CRMR.95b.png
145,CRMR,33.7,17.08 m³,19.737,6.201,142572.12,0.0423,0.2136,CRMR.95c.png
146,CRMR,33.7,17.08 m³,20.789,5.834,147943.39,0.0318,0.1851,CRMR.96a.png
147,CRMR,33.7,17.08 m³,20.789,5.834,146864.8,0.0343,0.16819,CRMR.96b.png
148,CRMR,33.7,17.08 m³,20.789,5.834,142898.09,0.0424,0.21496,CRMR.96c.png
149,CRMR,33.7,17.08 m³,21.842,5.46,148063.48,0.0319,0.18618,CRMR.97a.png
142,CRMR,33.7,17.08 m³,18.684,6.562,143119.09,0.0421,0.21446,CRMR.94c.png
150,CRMR,33.7,17.08 m³,21.842,5.46,147081.08,0.0345,0.16916,CRMR.97b.png
152,CRMR,33.7,17.08 m³,22.895,5.078,147444.38,0.0321,0.18625,CRMR.98a.png
153,CRMR,33.7,17.08 m³,22.895,5.078,146303.77000000002,0.0347,0.16779,CRMR.98b.png
154,CRMR,33.7,17.08 m³,22.895,5.078,142437.97,0.0428,0.21524,CRMR.98c.png
155,CRMR,33.7,17.08 m³,23.947,4.687,147279.98,0.0323,0.18569,CRMR.99a.png
156,CRMR,33.7,17.08 m³,23.947,4.687,146385.06,0.0349,0.16866,CRMR.99b.png
157,CRMR,33.7,17.08 m³,23.947,4.687,142570.84,0.0429,0.21643,CRMR.99c.png
158,CRMR,33.7,17.08 m³,25.0,4.287,146510.52,0.0324,0.18564,CRMR.100a.png
151,CRMR,33.7,17.08 m³,21.842,5.46,143164.49,0.0426,0.21627,CRMR.97c.png
121,CRMR,33.7,17.08 m³,11.316,8.945,140957.02000000002,0.0407,0.2079,CRMR.87c.png
141,CRMR,33.7,17.08 m³,18.684,6.562,147184.2,0.0339,0.16841,CRMR.94b.png
139,CRMR,33.7,17.08 m³,17.632,6.917,142684.51,0.0419,0.213,CRMR.93c.png
123,CRMR,33.7,17.08 m³,12.368,8.617,145869.08000000002,0.0327,0.16594,CRMR.88b.png
124,CRMR,33.7,17.08 m³,12.368,8.617,141661.72999999998,0.0409,0.2096,CRMR.88c.png
125,CRMR,33.7,17.08 m³,13.421,8.286,146763.62,0.0305,0.18321,CRMR.89a.png
126,CRMR,33.7,17.08 m³,13.421,8.286,145927.74,0.0329,0.16618,CRMR.89b.png
127,CRMR,33.7,17.08 m³,13.421,8.286,141652.48,0.0411,0.2103,CRMR.89c.png
128,CRMR,33.7,17.08 m³,14.474,7.95,147237.62,0.0307,0.18296,CRMR.90a.png
