CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
1,CRMR,18.4,11.67 m³,5.0,9.638,249222.54,0.0426,0.28821,CRMR.1.png
103,CRMR,33.7,17.08 m³,5.0,10.339,134660.13,0.0388,0.19038,CRMR.81c.png
104,CRMR,33.7,17.08 m³,6.053,10.339,143502.72,0.0289,0.17195,CRMR.82a.png
105,CRMR,33.7,17.08 m³,6.053,10.339,142020.03,0.0312,0.15116,CRMR.82b.png
106,CRMR,33.7,17.08 m³,6.053,10.339,137416.4,0.0394,0.19216,CRMR.82c.png
107,CRMR,33.7,17.08 m³,7.105,10.339,146131.63,0.0294,0.17444,CRMR.83a.png
108,CRMR,33.7,17.08 m³,7.105,10.339,144794.95,0.0317,0.15142,CRMR.83b.png
109,CRMR,33.7,17.08 m³,7.105,10.339,140208.46,0.0399,0.19325,CRMR.83c.png
102,CRMR,33.7,17.08 m³,5.0,10.339,139280.91,0.0307,0.15021,CRMR.81b.png
110,CRMR,33.7,17.08 m³,8.158,9.907,145997.99,0.0295,0.17426,CRMR.84a.png
112,CRMR,33.7,17.08 m³,8.158,9.907,140125.11,0.04,0.19342,CRMR.84c.png
113,CRMR,33.7,17.08 m³,9.211,9.59,146704.27,0.0297,0.17532,CRMR.85a.png
114,CRMR,33.7,17.08 m³,9.211,9.59,145416.13,0.032,0.15301,CRMR.85b.png
115,CRMR,33.7,17.08 m³,9.211,9.59,140929.96,0.0403,0.19552,CRMR.85c.png
116,CRMR,33.7,17.08 m³,10.263,9.269,146699.35,0.0299,0.17539,CRMR.86a.png
117,CRMR,33.7,17.08 m³,10.263,9.269,145500.93,0.0323,0.15299,CRMR.86b.png
118,CRMR,33.7,17.08 m³,10.263,9.269,141060.16,0.0405,0.19592,CRMR.86c.png
111,CRMR,33.7,17.08 m³,8.158,9.907,144656.41,0.0318,0.15132,CRMR.84b.png
119,CRMR,33.7,17.08 m³,11.316,8.945,147149.33,0.0301,0.17563,CRMR.87a.png
101,CRMR,33.7,17.08 m³,5.0,10.339,140873.81,0.0284,0.16947,CRMR.81a.png
99,CRMR,30.3,17.08 m³,25.0,4.287,158311.58000000002,0.0374,0.1702,CRMR.80b.png
83,CRMR,30.3,17.08 m³,19.737,6.201,161879.61000000002,0.034,0.1964,CRMR.75a.png
84,CRMR,30.3,17.08 m³,19.737,6.201,160661.94,0.0367,0.16992,CRMR.75b.png
85,CRMR,30.3,17.08 m³,19.737,6.201,156411.07,0.0453,0.2203,CRMR.75c.png
86,CRMR,30.3,17.08 m³,20.789,5.834,161566.01,0.0341,0.19739,CRMR.76a.png
87,CRMR,30.3,17.08 m³,20.789,5.834,160703.28,0.0368,0.17033,CRMR.76b.png
88,CRMR,30.3,17.08 m³,20.789,5.834,156505.14,0.0454,0.22101,CRMR.76c.png
89,CRMR,30.3,17.08 m³,21.842,5.46,161343.25,0.0342,0.20021,CRMR.77a.png
100,CRMR,30.3,17.08 m³,25.0,4.287,154332.13,0.0458,0.22199,CRMR.80c.png
90,CRMR,30.3,17.08 m³,21.842,5.46,160682.55,0.037,0.1707,CRMR.77b.png
92,CRMR,30.3,17.08 m³,22.895,5.078,160371.24,0.0344,0.20043,CRMR.78a.png
93,CRMR,30.3,17.08 m³,22.895,5.078,159454.14,0.0371,0.17081,CRMR.78b.png
94,CRMR,30.3,17.08 m³,22.895,5.078,155363.63,0.0456,0.22207,CRMR.78c.png
95,CRMR,30.3,17.08 m³,23.947,4.687,159922.99000000002,0.0345,0.19951,CRMR.79a.png
96,CRMR,30.3,17.08 m³,23.947,4.687,159293.57,0.0372,0.17107,CRMR.79b.png
97,CRMR,30.3,17.08 m³,23.947,4.687,155258.1,0.0457,0.2226,CRMR.79c.png
98,CRMR,30.3,17.08 m³,25.0,4.287,158813.19999999998,0.0346,0.19916,CRMR.80a.png
91,CRMR,30.3,17.08 m³,21.842,5.46,156537.85,0.0455,0.22167,CRMR.77c.png
82,CRMR,30.3,17.08 m³,18.684,6.562,157321.56,0.0451,0.22127,CRMR.74c.png
120,CRMR,33.7,17.08 m³,11.316,8.945,145928.88,0.0325,0.1533,CRMR.87b.png
122,CRMR,33.7,17.08 m³,12.368,8.617,147738.08,0.0303,0.1766,CRMR.88a.png
143,CRMR,33.7,17.08 m³,19.737,6.201,148075.1,0.0316,0.18144,CRMR.95a.png
144,CRMR,33.7,17.08 m³,19.737,6.201,147153.31,0.0341,0.15616,CRMR.95b.png
145,CRMR,33.7,17.08 m³,19.737,6.201,143137.14,0.0423,0.20257,CRMR.95c.png
146,CRMR,33.7,17.08 m³,20.789,5.834,148039.72999999998,0.0318,0.18274,CRMR.96a.png
147,CRMR,33.7,17.08 m³,20.789,5.834,147450.72,0.0343,0.15676,CRMR.96b.png
148,CRMR,33.7,17.08 m³,20.789,5.834,143484.01,0.0424,0.20353,CRMR.96c.png
149,CRMR,33.7,17.08 m³,21.842,5.46,148082.03,0.0319,0.18573,CRMR.97a.png
142,CRMR,33.7,17.08 m³,18.684,6.562,143734.8,0.0421,0.20245,CRMR.94c.png
150,CRMR,33.7,17.08 m³,21.842,5.46,147687.89,0.0345,0.15732,CRMR.97b.png
152,CRMR,33.7,17.08 m³,22.895,5.078,147444.38,0.0321,0.18625,CRMR.98a.png
