CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
1,CRMR,18.4,11.67 m³,10.263,8.582,545414.18,0.0737,0.389,CRMR.6a.png
108,CRMR,30.3,17.08 m³,20.789,5.834,283738.21,0.0601,0.242,CRMR.76c.png
109,CRMR,30.3,17.08 m³,21.842,5.46,321974.67,0.0522,0.2395,CRMR.77a.png
110,CRMR,30.3,17.08 m³,21.842,5.46,291661.78,0.0536,0.1881,CRMR.77b.png
111,CRMR,30.3,17.08 m³,21.842,5.46,280161.19,0.0601,0.2421,CRMR.77c.png
112,CRMR,30.3,17.08 m³,22.895,5.078,313998.62,0.0522,0.2387,CRMR.78a.png
113,CRMR,30.3,17.08 m³,23.947,4.687,308361.78,0.0522,0.2356,CRMR.79a.png
114,CRMR,30.3,17.08 m³,25.0,4.287,299533.1,0.0522,0.2346,CRMR.80a.png
115,CRMR,33.7,17.08 m³,5.0,10.339,300266.98,0.0447,0.2189,CRMR.81a.png
116,CRMR,33.7,17.08 m³,5.0,10.339,278102.81,0.0457,0.1626,CRMR.81b.png
117,CRMR,33.7,17.08 m³,5.0,10.339,248264.6,0.0519,0.1941,CRMR.81c.png
118,CRMR,33.7,17.08 m³,6.053,10.339,307287.98,0.0455,0.2219,CRMR.82a.png
119,CRMR,33.7,17.08 m³,6.053,10.339,285202.77,0.0465,0.1655,CRMR.82b.png
120,CRMR,33.7,17.08 m³,6.053,10.339,255434.88,0.0528,0.1973,CRMR.82c.png
121,CRMR,33.7,17.08 m³,7.105,10.339,314308.98,0.0463,0.2248,CRMR.83a.png
122,CRMR,33.7,17.08 m³,7.105,10.339,292302.75,0.0473,0.1685,CRMR.83b.png
123,CRMR,33.7,17.08 m³,7.105,10.339,262605.15,0.0536,0.2004,CRMR.83c.png
124,CRMR,33.7,17.08 m³,8.158,9.907,310985.68,0.0463,0.2227,CRMR.84a.png
107,CRMR,30.3,17.08 m³,20.789,5.834,295892.21,0.0536,0.1882,CRMR.76b.png
125,CRMR,33.7,17.08 m³,8.158,9.907,288965.19,0.0474,0.1687,CRMR.84b.png
106,CRMR,30.3,17.08 m³,20.789,5.834,326419.76,0.0522,0.2394,CRMR.76a.png
104,CRMR,30.3,17.08 m³,19.737,6.201,302021.32,0.0536,0.1876,CRMR.75b.png
87,CRMR,30.3,17.08 m³,13.421,8.286,287313.54,0.0596,0.2246,CRMR.69c.png
88,CRMR,30.3,17.08 m³,14.474,7.95,346366.79,0.0519,0.246,CRMR.70a.png
89,CRMR,30.3,17.08 m³,14.474,7.95,320776.47,0.0531,0.1886,CRMR.70b.png
90,CRMR,30.3,17.08 m³,14.474,7.95,282947.34,0.0597,0.2252,CRMR.70c.png
91,CRMR,30.3,17.08 m³,15.526,7.611,346038.99,0.0519,0.246,CRMR.71a.png
92,CRMR,30.3,17.08 m³,15.526,7.611,318462.63,0.0532,0.1889,CRMR.71b.png
93,CRMR,30.3,17.08 m³,15.526,7.611,280864.98,0.0598,0.2232,CRMR.71c.png
94,CRMR,30.3,17.08 m³,16.579,7.266,342615.87,0.052,0.2455,CRMR.72a.png
95,CRMR,30.3,17.08 m³,16.579,7.266,315266.97,0.0533,0.1883,CRMR.72b.png
96,CRMR,30.3,17.08 m³,16.579,7.266,277973.96,0.0599,0.2227,CRMR.72c.png
97,CRMR,30.3,17.08 m³,17.632,6.917,341299.77,0.0521,0.2429,CRMR.73a.png
98,CRMR,30.3,17.08 m³,17.632,6.917,309741.97,0.0534,0.1886,CRMR.73b.png
99,CRMR,30.3,17.08 m³,17.632,6.917,290080.8,0.0599,0.2421,CRMR.73c.png
100,CRMR,30.3,17.08 m³,18.684,6.562,337758.33,0.0522,0.2429,CRMR.74a.png
101,CRMR,30.3,17.08 m³,18.684,6.562,306519.84,0.0535,0.1888,CRMR.74b.png
102,CRMR,30.3,17.08 m³,18.684,6.562,290225.81,0.06,0.2424,CRMR.74c.png
103,CRMR,30.3,17.08 m³,19.737,6.201,330889.43,0.0522,0.2423,CRMR.75a.png
105,CRMR,30.3,17.08 m³,19.737,6.201,289225.36,0.06,0.2414,CRMR.75c.png
86,CRMR,30.3,17.08 m³,13.421,8.286,325012.63,0.053,0.1882,CRMR.69b.png
126,CRMR,33.7,17.08 m³,8.158,9.907,259304.94,0.0536,0.2007,CRMR.84c.png
128,CRMR,33.7,17.08 m³,9.211,9.59,290225.87,0.0476,0.1697,CRMR.85b.png
150,CRMR,33.7,17.08 m³,16.579,7.266,248953.2,0.0552,0.1987,CRMR.92c.png
151,CRMR,33.7,17.08 m³,17.632,6.917,308372.61,0.0479,0.2184,CRMR.93a.png
152,CRMR,33.7,17.08 m³,17.632,6.917,279420.25,0.0492,0.1726,CRMR.93b.png
153,CRMR,33.7,17.08 m³,17.632,6.917,260996.57,0.0554,0.221,CRMR.93c.png
154,CRMR,33.7,17.08 m³,18.684,6.562,305919.33,0.0481,0.2189,CRMR.94a.png
155,CRMR,33.7,17.08 m³,18.684,6.562,277065.12,0.0494,0.173,CRMR.94b.png
156,CRMR,33.7,17.08 m³,18.684,6.562,261853.45,0.0555,0.2215,CRMR.94c.png
157,CRMR,33.7,17.08 m³,19.737,6.201,302440.89,0.0482,0.2185,CRMR.95a.png
158,CRMR,33.7,17.08 m³,19.737,6.201,273505.15,0.0495,0.1723,CRMR.95b.png
159,CRMR,33.7,17.08 m³,19.737,6.201,261663.28,0.0557,0.2209,CRMR.95c.png
160,CRMR,33.7,17.08 m³,20.789,5.834,296730.86,0.0483,0.2163,CRMR.96a.png
161,CRMR,33.7,17.08 m³,20.789,5.834,268417.21,0.0496,0.1731,CRMR.96b.png
162,CRMR,33.7,17.08 m³,20.789,5.834,257162.7,0.0558,0.2218,CRMR.96c.png
163,CRMR,33.7,17.08 m³,21.842,5.46,293176.81,0.0484,0.2167,CRMR.97a.png
164,CRMR,33.7,17.08 m³,21.842,5.46,265005.53,0.0497,0.1733,CRMR.97b.png
165,CRMR,33.7,17.08 m³,21.842,5.46,254348.8,0.0559,0.2222,CRMR.97c.png
166,CRMR,33.7,17.08 m³,22.895,5.078,286365.08,0.0484,0.2163,CRMR.98a.png
149,CRMR,33.7,17.08 m³,16.579,7.266,283823.06,0.049,0.172,CRMR.92b.png
127,CRMR,33.7,17.08 m³,9.211,9.59,312151.35,0.0465,0.2236,CRMR.85a.png
148,CRMR,33.7,17.08 m³,16.579,7.266,311083.22,0.0478,0.2204,CRMR.92a.png
146,CRMR,33.7,17.08 m³,15.526,7.611,286066.91,0.0489,0.1722,CRMR.91b.png
129,CRMR,33.7,17.08 m³,9.211,9.59,259970.0,0.0539,0.1997,CRMR.85c.png
130,CRMR,33.7,17.08 m³,10.263,9.269,312575.32,0.0467,0.2234,CRMR.86a.png
131,CRMR,33.7,17.08 m³,10.263,9.269,290745.01,0.0479,0.1697,CRMR.86b.png
132,CRMR,33.7,17.08 m³,10.263,9.269,259613.46,0.0541,0.1998,CRMR.86c.png
133,CRMR,33.7,17.08 m³,11.316,8.945,311062.02,0.0469,0.2217,CRMR.87a.png
134,CRMR,33.7,17.08 m³,11.316,8.945,289351.3,0.0481,0.1705,CRMR.87b.png
135,CRMR,33.7,17.08 m³,11.316,8.945,257147.81,0.0543,0.2008,CRMR.87c.png
136,CRMR,33.7,17.08 m³,12.368,8.617,312011.93,0.0471,0.2224,CRMR.88a.png
137,CRMR,33.7,17.08 m³,12.368,8.617,290257.45,0.0483,0.1711,CRMR.88b.png
138,CRMR,33.7,17.08 m³,12.368,8.617,256732.0,0.0545,0.1994,CRMR.88c.png
139,CRMR,33.7,17.08 m³,13.421,8.286,312209.14,0.0473,0.2222,CRMR.89a.png
140,CRMR,33.7,17.08 m³,13.421,8.286,290550.37,0.0485,0.171,CRMR.89b.png
141,CRMR,33.7,17.08 m³,13.421,8.286,255557.77,0.0547,0.1994,CRMR.89c.png
142,CRMR,33.7,17.08 m³,14.474,7.95,310456.84,0.0475,0.2202,CRMR.90a.png
143,CRMR,33.7,17.08 m³,14.474,7.95,287467.72,0.0487,0.1716,CRMR.90b.png
144,CRMR,33.7,17.08 m³,14.474,7.95,252259.5,0.0549,0.2003,CRMR.90c.png
145,CRMR,33.7,17.08 m³,15.526,7.611,311154.07,0.0476,0.2208,CRMR.91a.png
147,CRMR,33.7,17.08 m³,15.526,7.611,250994.66,0.0551,0.1988,CRMR.91c.png
85,CRMR,30.3,17.08 m³,13.421,8.286,346681.63,0.0517,0.2484,CRMR.69a.png
84,CRMR,30.3,17.08 m³,12.368,8.617,289385.82,0.0594,0.225,CRMR.68c.png
83,CRMR,30.3,17.08 m³,12.368,8.617,325638.82,0.0528,0.1888,CRMR.68b.png
23,CRMR,18.4,11.67 m³,21.842,4.796,447535.98,0.07,0.3515,CRMR.17a.png
24,CRMR,18.4,11.67 m³,21.842,4.796,428718.56,0.0708,0.2683,CRMR.17b.png
25,CRMR,18.4,11.67 m³,22.895,4.412,436039.38,0.0696,0.3431,CRMR.18a.png
26,CRMR,18.4,11.67 m³,22.895,4.412,417879.03,0.0703,0.2648,CRMR.18b.png
27,CRMR,18.4,11.67 m³,23.947,4.018,421926.41,0.0691,0.3446,CRMR.19a.png
28,CRMR,22.6,11.67 m³,7.105,10.222,459544.42,0.0637,0.2532,CRMR.23b.png
29,CRMR,22.6,11.67 m³,8.158,9.907,456788.47,0.0637,0.2523,CRMR.24b.png
30,CRMR,22.6,11.67 m³,9.211,9.59,466871.27,0.063,0.3306,CRMR.25a.png
31,CRMR,22.6,11.67 m³,9.211,9.59,453408.46,0.0636,0.2502,CRMR.25b.png
32,CRMR,22.6,11.67 m³,10.263,9.269,461445.13,0.0629,0.3303,CRMR.26a.png
33,CRMR,22.6,11.67 m³,10.263,9.269,448025.69,0.0635,0.2501,CRMR.26b.png
34,CRMR,22.6,11.67 m³,11.316,8.945,458351.53,0.0628,0.3291,CRMR.27a.png
35,CRMR,22.6,11.67 m³,11.316,8.945,444529.6,0.0634,0.2484,CRMR.27b.png
36,CRMR,22.6,11.67 m³,12.368,8.617,454304.99,0.0627,0.3232,CRMR.28a.png
37,CRMR,22.6,11.67 m³,12.368,8.617,440840.17,0.0634,0.2463,CRMR.28b.png
38,CRMR,22.6,11.67 m³,13.421,8.286,448551.99,0.0626,0.3227,CRMR.29a.png
39,CRMR,22.6,11.67 m³,13.421,8.286,435131.04,0.0632,0.2459,CRMR.29b.png
22,CRMR,18.4,11.67 m³,20.789,5.171,437226.69,0.0712,0.2692,CRMR.16b.png
40,CRMR,22.6,11.67 m³,14.474,7.95,445112.66,0.0625,0.3214,CRMR.30a.png
21,CRMR,18.4,11.67 m³,20.789,5.171,456619.42,0.0705,0.3522,CRMR.16a.png
19,CRMR,18.4,11.67 m³,19.737,5.538,470560.36,0.0709,0.3592,CRMR.15a.png
2,CRMR,18.4,11.67 m³,10.263,8.582,528818.2,0.0744,0.2939,CRMR.6b.png
3,CRMR,18.4,11.67 m³,11.316,8.262,539418.16,0.0734,0.3858,CRMR.7a.png
4,CRMR,18.4,11.67 m³,11.316,8.262,522868.83,0.0741,0.2908,CRMR.7b.png
5,CRMR,18.4,11.67 m³,12.368,7.938,531612.56,0.0732,0.3861,CRMR.8a.png
6,CRMR,18.4,11.67 m³,12.368,7.938,514567.65,0.0739,0.2905,CRMR.8b.png
7,CRMR,18.4,11.67 m³,13.421,7.609,524949.96,0.0729,0.3782,CRMR.9a.png
8,CRMR,18.4,11.67 m³,13.421,7.609,508333.35,0.0736,0.2873,CRMR.9b.png
9,CRMR,18.4,11.67 m³,14.474,7.277,518604.3,0.0726,0.3786,CRMR.10a.png
10,CRMR,18.4,11.67 m³,14.474,7.277,502100.26,0.0733,0.2837,CRMR.10b.png
11,CRMR,18.4,11.67 m³,15.526,6.94,510233.77,0.0723,0.375,CRMR.11a.png
12,CRMR,18.4,11.67 m³,15.526,6.94,491297.66,0.073,0.2834,CRMR.11b.png
