CaseNo,type,slope,class armour,B,Rc,total_cost,total_CO2,install_duration,img
1,CRMR,18.4,11.67 m³,10.263,8.582,1968253.79,0.0737,0.3137,CRMR.6a.png
106,CRMR,30.3,17.08 m³,21.842,5.46,1165268.07,0.0522,0.1995,CRMR.77a.png
107,CRMR,30.3,17.08 m³,21.842,5.46,1087446.29,0.0536,0.1506,CRMR.77b.png
108,CRMR,30.3,17.08 m³,21.842,5.46,353942.61,0.0601,0.1948,CRMR.77c.png
109,CRMR,30.3,17.08 m³,22.895,5.078,1154546.37,0.0522,0.1987,CRMR.78a.png
110,CRMR,30.3,17.08 m³,23.947,4.687,1146155.48,0.0522,0.1961,CRMR.79a.png
111,CRMR,30.3,17.08 m³,25.0,4.287,1133907.78,0.0522,0.1952,CRMR.80a.png
112,CRMR,33.7,17.08 m³,5.0,10.339,1067993.57,0.0447,0.1885,CRMR.81a.png
105,CRMR,30.3,17.08 m³,20.789,5.834,355792.24,0.0601,0.1943,CRMR.76c.png
113,CRMR,33.7,17.08 m³,5.0,10.339,995231.08,0.0457,0.1256,CRMR.81b.png
115,CRMR,33.7,17.08 m³,6.053,10.339,1087853.95,0.0455,0.191,CRMR.82a.png
116,CRMR,33.7,17.08 m³,6.053,10.339,1014517.24,0.0465,0.1281,CRMR.82b.png
117,CRMR,33.7,17.08 m³,6.053,10.339,349629.77,0.0528,0.1656,CRMR.82c.png
118,CRMR,33.7,17.08 m³,7.105,10.339,1107714.33,0.0463,0.1934,CRMR.83a.png
119,CRMR,33.7,17.08 m³,7.105,10.339,1033803.42,0.0473,0.1306,CRMR.83b.png
120,CRMR,33.7,17.08 m³,7.105,10.339,356944.78,0.0536,0.1689,CRMR.83c.png
121,CRMR,33.7,17.08 m³,8.158,9.907,1100218.28,0.0463,0.183,CRMR.84a.png
114,CRMR,33.7,17.08 m³,5.0,10.339,339758.25,0.0519,0.1623,CRMR.81c.png
104,CRMR,30.3,17.08 m³,20.789,5.834,1093835.28,0.0536,0.1501,CRMR.76b.png
103,CRMR,30.3,17.08 m³,20.789,5.834,1172025.06,0.0522,0.1991,CRMR.76a.png
