CaseNo,type,slope,class armour,B,Rc,material_cost,img
1,CRMR,18.4,11.67 m³,5.0,9.638,42072.36,CRMR.1a.png
153,CRMR,30.3,17.08 m³,15.526,7.611,42529.55,CRMR.71c.png
154,CRMR,30.3,17.08 m³,16.579,7.266,33158.35,CRMR.72a.png
155,CRMR,30.3,17.08 m³,16.579,7.266,37713.91,CRMR.72b.png
156,CRMR,30.3,17.08 m³,16.579,7.266,42703.28,CRMR.72c.png
157,CRMR,30.3,17.08 m³,17.632,6.917,33314.16,CRMR.73a.png
158,CRMR,30.3,17.08 m³,17.632,6.917,37893.75,CRMR.73b.png
159,CRMR,30.3,17.08 m³,17.632,6.917,42871.37,CRMR.73c.png
160,CRMR,30.3,17.08 m³,18.684,6.562,33465.34,CRMR.74a.png
161,CRMR,30.3,17.08 m³,18.684,6.562,38068.26,CRMR.74b.png
162,CRMR,30.3,17.08 m³,18.684,6.562,43033.36,CRMR.74c.png
163,CRMR,30.3,17.08 m³,19.737,6.201,33611.48,CRMR.75a.png
164,CRMR,30.3,17.08 m³,19.737,6.201,38236.94,CRMR.75b.png
152,CRMR,30.3,17.08 m³,15.526,7.611,37529.12,CRMR.71b.png
165,CRMR,30.3,17.08 m³,19.737,6.201,43188.72,CRMR.75c.png
167,CRMR,30.3,17.08 m³,20.789,5.834,38399.26,CRMR.76b.png
168,CRMR,30.3,17.08 m³,20.789,5.834,43336.82,CRMR.76c.png
169,CRMR,30.3,17.08 m³,21.842,5.46,33886.64,CRMR.77a.png
170,CRMR,30.3,17.08 m³,21.842,5.46,38554.56,CRMR.77b.png
171,CRMR,30.3,17.08 m³,21.842,5.46,43476.91,CRMR.77c.png
172,CRMR,30.3,17.08 m³,22.895,5.078,34014.42,CRMR.78a.png
173,CRMR,30.3,17.08 m³,22.895,5.078,38702.05,CRMR.78b.png
174,CRMR,30.3,17.08 m³,22.895,5.078,43608.09,CRMR.78c.png
175,CRMR,30.3,17.08 m³,23.947,4.687,34134.59,CRMR.79a.png
176,CRMR,30.3,17.08 m³,23.947,4.687,38840.76,CRMR.79b.png
177,CRMR,30.3,17.08 m³,23.947,4.687,43729.26,CRMR.79c.png
178,CRMR,30.3,17.08 m³,25.0,4.287,34246.12,CRMR.80a.png
166,CRMR,30.3,17.08 m³,20.789,5.834,33752.1,CRMR.76a.png
179,CRMR,30.3,17.08 m³,25.0,4.287,38969.5,CRMR.80b.png
151,CRMR,30.3,17.08 m³,15.526,7.611,32998.26,CRMR.71a.png
149,CRMR,30.3,17.08 m³,14.474,7.95,37339.74,CRMR.70b.png
123,CRMR,30.3,17.08 m³,5.0,10.339,39981.44,CRMR.61c.png
124,CRMR,30.3,17.08 m³,6.053,10.339,31238.02,CRMR.62a.png
125,CRMR,30.3,17.08 m³,6.053,10.339,35497.31,CRMR.62b.png
126,CRMR,30.3,17.08 m³,6.053,10.339,40545.49,CRMR.62c.png
127,CRMR,30.3,17.08 m³,7.105,10.339,31694.59,CRMR.63a.png
128,CRMR,30.3,17.08 m³,7.105,10.339,36024.31,CRMR.63b.png
129,CRMR,30.3,17.08 m³,7.105,10.339,41109.53,CRMR.63c.png
130,CRMR,30.3,17.08 m³,8.158,9.907,31779.49,CRMR.64a.png
