CaseNo,type,slope,class armour,B,Rc,material_cost,material_CO2,img
1,CRMR,18.4,11.67 m³,5.0,9.638,65618.05,0.0733,CRMR.1a.png
153,CRMR,30.3,17.08 m³,15.526,7.611,45473.39,0.0598,CRMR.71c.png
154,CRMR,30.3,17.08 m³,16.579,7.266,44673.14,0.052,CRMR.72a.png
155,CRMR,30.3,17.08 m³,16.579,7.266,45399.61,0.0533,CRMR.72b.png
156,CRMR,30.3,17.08 m³,16.579,7.266,45503.15,0.0599,CRMR.72c.png
157,CRMR,30.3,17.08 m³,17.632,6.917,44672.69,0.0521,CRMR.73a.png
158,CRMR,30.3,17.08 m³,17.632,6.917,45416.95,0.0534,CRMR.73b.png
159,CRMR,30.3,17.08 m³,17.632,6.917,45519.95,0.0599,CRMR.73c.png
160,CRMR,30.3,17.08 m³,18.684,6.562,44658.68,0.0522,CRMR.74a.png
161,CRMR,30.3,17.08 m³,18.684,6.562,45420.61,0.0535,CRMR.74b.png
162,CRMR,30.3,17.08 m³,18.684,6.562,45523.03,0.06,CRMR.74c.png
163,CRMR,30.3,17.08 m³,19.737,6.201,44630.24,0.0522,CRMR.75a.png
164,CRMR,30.3,17.08 m³,19.737,6.201,45409.73,0.0536,CRMR.75b.png
152,CRMR,30.3,17.08 m³,15.526,7.611,45369.34,0.0532,CRMR.71b.png
165,CRMR,30.3,17.08 m³,19.737,6.201,45511.53,0.06,CRMR.75c.png
167,CRMR,30.3,17.08 m³,20.789,5.834,45383.28,0.0536,CRMR.76b.png
168,CRMR,30.3,17.08 m³,20.789,5.834,45484.43,0.0601,CRMR.76c.png
169,CRMR,30.3,17.08 m³,21.842,5.46,44525.9,0.0522,CRMR.77a.png
170,CRMR,30.3,17.08 m³,21.842,5.46,45340.08,0.0536,CRMR.77b.png
171,CRMR,30.3,17.08 m³,21.842,5.46,45440.52,0.0601,CRMR.77c.png
172,CRMR,30.3,17.08 m³,22.895,5.078,44447.39,0.0522,CRMR.78a.png
173,CRMR,30.3,17.08 m³,22.895,5.078,45278.68,0.0536,CRMR.78b.png
174,CRMR,30.3,17.08 m³,22.895,5.078,45378.36,0.0601,CRMR.78c.png
175,CRMR,30.3,17.08 m³,23.947,4.687,44349.1,0.0522,CRMR.79a.png
176,CRMR,30.3,17.08 m³,23.947,4.687,45197.31,0.0536,CRMR.79b.png
177,CRMR,30.3,17.08 m³,23.947,4.687,45296.18,0.06,CRMR.79c.png
178,CRMR,30.3,17.08 m³,25.0,4.287,44228.88,0.0522,CRMR.80a.png
166,CRMR,30.3,17.08 m³,20.789,5.834,44586.37,0.0522,CRMR.76a.png
179,CRMR,30.3,17.08 m³,25.0,4.287,45093.79,0.0536,CRMR.80b.png
151,CRMR,30.3,17.08 m³,15.526,7.611,44660.77,0.0519,CRMR.71a.png
149,CRMR,30.3,17.08 m³,14.474,7.95,45326.79,0.0531,CRMR.70b.png
123,CRMR,30.3,17.08 m³,5.0,10.339,43619.23,0.0572,CRMR.61c.png
124,CRMR,30.3,17.08 m³,6.053,10.339,43692.75,0.0504,CRMR.62a.png
125,CRMR,30.3,17.08 m³,6.053,10.339,44232.42,0.0514,CRMR.62b.png
126,CRMR,30.3,17.08 m³,6.053,10.339,44338.68,0.0581,CRMR.62c.png
127,CRMR,30.3,17.08 m³,7.105,10.339,44385.33,0.0511,CRMR.63a.png
128,CRMR,30.3,17.08 m³,7.105,10.339,44950.15,0.0522,CRMR.63b.png
129,CRMR,30.3,17.08 m³,7.105,10.339,45058.13,0.0589,CRMR.63c.png
130,CRMR,30.3,17.08 m³,8.158,9.907,44261.08,0.0511,CRMR.64a.png
131,CRMR,30.3,17.08 m³,8.158,9.907,44841.96,0.0522,CRMR.64b.png
132,CRMR,30.3,17.08 m³,8.158,9.907,44948.87,0.0588,CRMR.64c.png
133,CRMR,30.3,17.08 m³,9.211,9.59,44348.68,0.0512,CRMR.65a.png
134,CRMR,30.3,17.08 m³,9.211,9.59,44948.02,0.0524,CRMR.65b.png
150,CRMR,30.3,17.08 m³,14.474,7.95,45431.33,0.0597,CRMR.70c.png
135,CRMR,30.3,17.08 m³,9.211,9.59,45054.59,0.059,CRMR.65c.png
137,CRMR,30.3,17.08 m³,10.263,9.269,45044.46,0.0525,CRMR.66b.png
138,CRMR,30.3,17.08 m³,10.263,9.269,45150.67,0.0592,CRMR.66c.png
139,CRMR,30.3,17.08 m³,11.316,8.945,44494.89,0.0515,CRMR.67a.png
140,CRMR,30.3,17.08 m³,11.316,8.945,45130.95,0.0527,CRMR.67b.png
141,CRMR,30.3,17.08 m³,11.316,8.945,45236.78,0.0593,CRMR.67c.png
142,CRMR,30.3,17.08 m³,12.368,8.617,44552.8,0.0516,CRMR.68a.png
143,CRMR,30.3,17.08 m³,12.368,8.617,45207.11,0.0528,CRMR.68b.png
144,CRMR,30.3,17.08 m³,12.368,8.617,45312.54,0.0594,CRMR.68c.png
145,CRMR,30.3,17.08 m³,13.421,8.286,44600.06,0.0517,CRMR.69a.png
146,CRMR,30.3,17.08 m³,13.421,8.286,45272.55,0.053,CRMR.69b.png
147,CRMR,30.3,17.08 m³,13.421,8.286,45377.54,0.0596,CRMR.69c.png
148,CRMR,30.3,17.08 m³,14.474,7.95,44636.22,0.0519,CRMR.70a.png
136,CRMR,30.3,17.08 m³,10.263,9.269,44426.72,0.0514,CRMR.66a.png
122,CRMR,30.3,17.08 m³,5.0,10.339,43514.68,0.0506,CRMR.61b.png
180,CRMR,30.3,17.08 m³,25.0,4.287,45191.79,0.06,CRMR.80c.png
182,CRMR,33.7,17.08 m³,5.0,10.339,39010.68,0.0457,CRMR.81b.png
213,CRMR,33.7,17.08 m³,15.526,7.611,41561.84,0.0551,CRMR.91c.png
214,CRMR,33.7,17.08 m³,16.579,7.266,40811.61,0.0478,CRMR.92a.png
215,CRMR,33.7,17.08 m³,16.579,7.266,41534.21,0.049,CRMR.92b.png
216,CRMR,33.7,17.08 m³,16.579,7.266,41661.16,0.0552,CRMR.92c.png
217,CRMR,33.7,17.08 m³,17.632,6.917,40880.27,0.0479,CRMR.93a.png
218,CRMR,33.7,17.08 m³,17.632,6.917,41621.34,0.0492,CRMR.93b.png
219,CRMR,33.7,17.08 m³,17.632,6.917,41747.95,0.0554,CRMR.93c.png
220,CRMR,33.7,17.08 m³,18.684,6.562,40935.84,0.0481,CRMR.94a.png
221,CRMR,33.7,17.08 m³,18.684,6.562,41695.27,0.0494,CRMR.94b.png
222,CRMR,33.7,17.08 m³,18.684,6.562,41821.51,0.0555,CRMR.94c.png
223,CRMR,33.7,17.08 m³,19.737,6.201,40977.53,0.0482,CRMR.95a.png
224,CRMR,33.7,17.08 m³,19.737,6.201,41755.21,0.0495,CRMR.95b.png
212,CRMR,33.7,17.08 m³,15.526,7.611,41434.58,0.0489,CRMR.91b.png
225,CRMR,33.7,17.08 m³,19.737,6.201,41881.05,0.0557,CRMR.95c.png
227,CRMR,33.7,17.08 m³,20.789,5.834,41800.22,0.0496,CRMR.96b.png
228,CRMR,33.7,17.08 m³,20.789,5.834,41925.62,0.0558,CRMR.96c.png
229,CRMR,33.7,17.08 m³,21.842,5.46,41015.39,0.0484,CRMR.97a.png
230,CRMR,33.7,17.08 m³,21.842,5.46,41829.19,0.0497,CRMR.97b.png
231,CRMR,33.7,17.08 m³,21.842,5.46,41954.11,0.0559,CRMR.97c.png
232,CRMR,33.7,17.08 m³,22.895,5.078,41009.15,0.0484,CRMR.98a.png
233,CRMR,33.7,17.08 m³,22.895,5.078,41840.8,0.0498,CRMR.98b.png
234,CRMR,33.7,17.08 m³,22.895,5.078,41965.19,0.0559,CRMR.98c.png
235,CRMR,33.7,17.08 m³,23.947,4.687,40984.1,0.0485,CRMR.99a.png
236,CRMR,33.7,17.08 m³,23.947,4.687,41833.42,0.0499,CRMR.99b.png
237,CRMR,33.7,17.08 m³,23.947,4.687,41957.23,0.056,CRMR.99c.png
238,CRMR,33.7,17.08 m³,25.0,4.287,40938.24,0.0485,CRMR.100a.png
226,CRMR,33.7,17.08 m³,20.789,5.834,41004.41,0.0483,CRMR.96a.png
181,CRMR,33.7,17.08 m³,5.0,10.339,38505.96,0.0447,CRMR.81a.png
211,CRMR,33.7,17.08 m³,15.526,7.611,40730.55,0.0476,CRMR.91a.png
209,CRMR,33.7,17.08 m³,14.474,7.95,41323.06,0.0487,CRMR.90b.png
183,CRMR,33.7,17.08 m³,5.0,10.339,39136.81,0.0519,CRMR.81c.png
184,CRMR,33.7,17.08 m³,6.053,10.339,39198.54,0.0455,CRMR.82a.png
185,CRMR,33.7,17.08 m³,6.053,10.339,39728.41,0.0465,CRMR.82b.png
186,CRMR,33.7,17.08 m³,6.053,10.339,39856.26,0.0528,CRMR.82c.png
187,CRMR,33.7,17.08 m³,7.105,10.339,39891.12,0.0463,CRMR.83a.png
188,CRMR,33.7,17.08 m³,7.105,10.339,40446.15,0.0473,CRMR.83b.png
189,CRMR,33.7,17.08 m³,7.105,10.339,40575.71,0.0536,CRMR.83c.png
190,CRMR,33.7,17.08 m³,8.158,9.907,39858.45,0.0463,CRMR.84a.png
191,CRMR,33.7,17.08 m³,8.158,9.907,40430.37,0.0474,CRMR.84b.png
192,CRMR,33.7,17.08 m³,8.158,9.907,40559.12,0.0536,CRMR.84c.png
193,CRMR,33.7,17.08 m³,9.211,9.59,40012.85,0.0465,CRMR.85a.png
194,CRMR,33.7,17.08 m³,9.211,9.59,40603.84,0.0476,CRMR.85b.png
210,CRMR,33.7,17.08 m³,14.474,7.95,41450.6,0.0549,CRMR.90c.png
195,CRMR,33.7,17.08 m³,9.211,9.59,40732.43,0.0539,CRMR.85c.png
197,CRMR,33.7,17.08 m³,10.263,9.269,40767.88,0.0479,CRMR.86b.png
198,CRMR,33.7,17.08 m³,10.263,9.269,40896.31,0.0541,CRMR.86c.png
199,CRMR,33.7,17.08 m³,11.316,8.945,40293.23,0.0469,CRMR.87a.png
200,CRMR,33.7,17.08 m³,11.316,8.945,40922.19,0.0481,CRMR.87b.png
201,CRMR,33.7,17.08 m³,11.316,8.945,41050.43,0.0543,CRMR.87c.png
202,CRMR,33.7,17.08 m³,12.368,8.617,40418.57,0.0471,CRMR.88a.png
203,CRMR,33.7,17.08 m³,12.368,8.617,41066.42,0.0483,CRMR.88b.png
204,CRMR,33.7,17.08 m³,12.368,8.617,41194.44,0.0545,CRMR.88c.png
205,CRMR,33.7,17.08 m³,13.421,8.286,40533.53,0.0473,CRMR.89a.png
206,CRMR,33.7,17.08 m³,13.421,8.286,41200.18,0.0485,CRMR.89b.png
207,CRMR,33.7,17.08 m³,13.421,8.286,41327.97,0.0547,CRMR.89c.png
208,CRMR,33.7,17.08 m³,14.474,7.95,40637.68,0.0475,CRMR.90a.png
196,CRMR,33.7,17.08 m³,10.263,9.269,40157.88,0.0467,CRMR.86a.png
121,CRMR,30.3,17.08 m³,5.0,10.339,43000.16,0.0496,CRMR.61a.png
120,CRMR,26.6,14.58 m³,25.0,4.287,47483.19,0.0562,CRMR.60b.png
119,CRMR,26.6,14.58 m³,25.0,4.287,47647.87,0.0555,CRMR.60a.png
32,CRMR,18.4,11.67 m³,20.789,5.171,61447.46,0.0712,CRMR.16b.png
33,CRMR,18.4,11.67 m³,21.842,4.796,61268.35,0.07,CRMR.17a.png
34,CRMR,18.4,11.67 m³,21.842,4.796,60964.45,0.0708,CRMR.17b.png
35,CRMR,18.4,11.67 m³,22.895,4.412,60753.48,0.0696,CRMR.18a.png
36,CRMR,18.4,11.67 m³,22.895,4.412,60456.04,0.0703,CRMR.18b.png
37,CRMR,18.4,11.67 m³,23.947,4.018,60209.84,0.0691,CRMR.19a.png
38,CRMR,18.4,11.67 m³,23.947,4.018,59918.89,0.0699,CRMR.19b.png
39,CRMR,18.4,11.67 m³,25.0,3.612,59633.1,0.0686,CRMR.20a.png
40,CRMR,18.4,11.67 m³,25.0,3.612,59348.67,0.0693,CRMR.20b.png
41,CRMR,22.6,11.67 m³,5.0,10.339,55291.73,0.0619,CRMR.21a.png
42,CRMR,22.6,11.67 m³,5.0,10.339,54977.88,0.0625,CRMR.21b.png
43,CRMR,22.6,11.67 m³,6.053,10.339,55953.77,0.0627,CRMR.22a.png
31,CRMR,18.4,11.67 m³,20.789,5.171,61757.78,0.0705,CRMR.16a.png
44,CRMR,22.6,11.67 m³,6.053,10.339,55645.05,0.0633,CRMR.22b.png
46,CRMR,22.6,11.67 m³,7.105,10.222,56018.67,0.0637,CRMR.23b.png
47,CRMR,22.6,11.67 m³,8.158,9.907,56193.88,0.063,CRMR.24a.png
48,CRMR,22.6,11.67 m³,8.158,9.907,55896.66,0.0637,CRMR.24b.png
49,CRMR,22.6,11.67 m³,9.211,9.59,56056.25,0.063,CRMR.25a.png
50,CRMR,22.6,11.67 m³,9.211,9.59,55765.06,0.0636,CRMR.25b.png
51,CRMR,22.6,11.67 m³,10.263,9.269,55908.65,0.0629,CRMR.26a.png
52,CRMR,22.6,11.67 m³,10.263,9.269,55623.51,0.0635,CRMR.26b.png
53,CRMR,22.6,11.67 m³,11.316,8.945,55750.7,0.0628,CRMR.27a.png
54,CRMR,22.6,11.67 m³,11.316,8.945,55471.61,0.0634,CRMR.27b.png
55,CRMR,22.6,11.67 m³,12.368,8.617,55581.96,0.0627,CRMR.28a.png
56,CRMR,22.6,11.67 m³,12.368,8.617,55308.94,0.0634,CRMR.28b.png
57,CRMR,22.6,11.67 m³,13.421,8.286,55401.96,0.0626,CRMR.29a.png
45,CRMR,22.6,11.67 m³,7.105,10.222,56321.91,0.0631,CRMR.23a.png
58,CRMR,22.6,11.67 m³,13.421,8.286,55135.01,0.0632,CRMR.29b.png
30,CRMR,18.4,11.67 m³,19.737,5.538,61907.72,0.0716,CRMR.15b.png
28,CRMR,18.4,11.67 m³,18.684,5.897,62347.36,0.072,CRMR.14b.png
2,CRMR,18.4,11.67 m³,5.0,9.638,65215.32,0.074,CRMR.1b.png
3,CRMR,18.4,11.67 m³,6.053,9.638,66271.96,0.074,CRMR.2a.png
4,CRMR,18.4,11.67 m³,6.053,9.638,65874.38,0.0747,CRMR.2b.png
5,CRMR,18.4,11.67 m³,7.105,9.522,66573.06,0.0744,CRMR.3a.png
6,CRMR,18.4,11.67 m³,7.105,9.522,66181.01,0.0751,CRMR.3b.png
7,CRMR,18.4,11.67 m³,8.158,9.212,66279.27,0.0742,CRMR.4a.png
8,CRMR,18.4,11.67 m³,8.158,9.212,65893.43,0.0749,CRMR.4b.png
9,CRMR,18.4,11.67 m³,9.211,8.899,65975.05,0.0739,CRMR.5a.png
10,CRMR,18.4,11.67 m³,9.211,8.899,65595.42,0.0746,CRMR.5b.png
11,CRMR,18.4,11.67 m³,10.263,8.582,65659.94,0.0737,CRMR.6a.png
12,CRMR,18.4,11.67 m³,10.263,8.582,65286.54,0.0744,CRMR.6b.png
13,CRMR,18.4,11.67 m³,11.316,8.262,65333.43,0.0734,CRMR.7a.png
29,CRMR,18.4,11.67 m³,19.737,5.538,62224.44,0.0709,CRMR.15a.png
14,CRMR,18.4,11.67 m³,11.316,8.262,64966.27,0.0741,CRMR.7b.png
16,CRMR,18.4,11.67 m³,12.368,7.938,64634.04,0.0739,CRMR.8b.png
17,CRMR,18.4,11.67 m³,13.421,7.609,64643.88,0.0729,CRMR.9a.png
18,CRMR,18.4,11.67 m³,13.421,7.609,64289.22,0.0736,CRMR.9b.png
19,CRMR,18.4,11.67 m³,14.474,7.277,64279.47,0.0726,CRMR.10a.png
20,CRMR,18.4,11.67 m³,14.474,7.277,63931.1,0.0733,CRMR.10b.png
21,CRMR,18.4,11.67 m³,15.526,6.94,63900.94,0.0723,CRMR.11a.png
22,CRMR,18.4,11.67 m³,15.526,6.94,63558.86,0.073,CRMR.11b.png
23,CRMR,18.4,11.67 m³,16.579,6.598,63507.34,0.0719,CRMR.12a.png
24,CRMR,18.4,11.67 m³,16.579,6.598,63171.57,0.0727,CRMR.12b.png
25,CRMR,18.4,11.67 m³,17.632,6.251,63097.59,0.0716,CRMR.13a.png
26,CRMR,18.4,11.67 m³,17.632,6.251,62768.15,0.0723,CRMR.13b.png
27,CRMR,18.4,11.67 m³,18.684,5.897,62670.45,0.0712,CRMR.14a.png
15,CRMR,18.4,11.67 m³,12.368,7.938,64994.96,0.0732,CRMR.8a.png
59,CRMR,22.6,11.67 m³,14.474,7.95,55210.14,0.0625,CRMR.30a.png
60,CRMR,22.6,11.67 m³,14.474,7.95,54949.28,0.0631,CRMR.30b.png
61,CRMR,22.6,11.67 m³,15.526,7.611,55005.92,0.0623,CRMR.31a.png
93,CRMR,26.6,14.58 m³,11.316,8.945,49192.89,0.0562,CRMR.47a.png
94,CRMR,26.6,14.58 m³,11.316,8.945,48950.1,0.0567,CRMR.47b.png
95,CRMR,26.6,14.58 m³,12.368,8.617,49155.24,0.0562,CRMR.48a.png
96,CRMR,26.6,14.58 m³,12.368,8.617,48918.39,0.0568,CRMR.48b.png
97,CRMR,26.6,14.58 m³,13.421,8.286,49106.68,0.0562,CRMR.49a.png
98,CRMR,26.6,14.58 m³,13.421,8.286,48875.78,0.0568,CRMR.49b.png
99,CRMR,26.6,14.58 m³,14.474,7.95,49046.72,0.0562,CRMR.50a.png
100,CRMR,26.6,14.58 m³,14.474,7.95,48821.77,0.0568,CRMR.50b.png
101,CRMR,26.6,14.58 m³,15.526,7.611,48974.81,0.0562,CRMR.51a.png
102,CRMR,26.6,14.58 m³,15.526,7.611,48755.82,0.0568,CRMR.51b.png
103,CRMR,26.6,14.58 m³,16.579,7.266,48890.32,0.0562,CRMR.52a.png
104,CRMR,26.6,14.58 m³,16.579,7.266,48677.31,0.0568,CRMR.52b.png
92,CRMR,26.6,14.58 m³,10.263,9.269,48971.34,0.0567,CRMR.46b.png
105,CRMR,26.6,14.58 m³,17.632,6.917,48792.57,0.0562,CRMR.53a.png
107,CRMR,26.6,14.58 m³,18.684,6.562,48680.74,0.0561,CRMR.54a.png
108,CRMR,26.6,14.58 m³,18.684,6.562,48479.71,0.0568,CRMR.54b.png
109,CRMR,26.6,14.58 m³,19.737,6.201,48553.9,0.0561,CRMR.55a.png
110,CRMR,26.6,14.58 m³,19.737,6.201,48358.89,0.0567,CRMR.55b.png
111,CRMR,26.6,14.58 m³,20.789,5.834,48410.97,0.056,CRMR.56a.png
112,CRMR,26.6,14.58 m³,20.789,5.834,48221.98,0.0567,CRMR.56b.png
113,CRMR,26.6,14.58 m³,21.842,5.46,48250.63,0.0559,CRMR.57a.png
114,CRMR,26.6,14.58 m³,21.842,5.46,48067.7,0.0566,CRMR.57b.png
115,CRMR,26.6,14.58 m³,22.895,5.078,48071.35,0.0558,CRMR.58a.png
116,CRMR,26.6,14.58 m³,22.895,5.078,47894.48,0.0565,CRMR.58b.png
117,CRMR,26.6,14.58 m³,23.947,4.687,47871.22,0.0557,CRMR.59a.png
118,CRMR,26.6,14.58 m³,23.947,4.687,47700.44,0.0563,CRMR.59b.png
106,CRMR,26.6,14.58 m³,17.632,6.917,48585.54,0.0568,CRMR.53b.png
91,CRMR,26.6,14.58 m³,10.263,9.269,49220.05,0.0561,CRMR.46a.png
90,CRMR,26.6,14.58 m³,9.211,9.59,48982.5,0.0566,CRMR.45b.png
89,CRMR,26.6,14.58 m³,9.211,9.59,49237.13,0.0561,CRMR.45a.png
62,CRMR,22.6,11.67 m³,15.526,7.611,54751.16,0.063,CRMR.31b.png
63,CRMR,22.6,11.67 m³,16.579,7.266,54788.61,0.0622,CRMR.32a.png
64,CRMR,22.6,11.67 m³,16.579,7.266,54539.96,0.0629,CRMR.32b.png
65,CRMR,22.6,11.67 m³,17.632,6.917,54557.43,0.062,CRMR.33a.png
