id,harbour,description,country,worktype,length,depth,duration,start,finish,cost(M$),owner,contractor,consultant,Hydr.Lab,type,Hs,Tz,Tp,front armour,front (unit),front size,front slope,rear armour,rear (unit),rear size,rear slope,heigth,width,wall,comments,Lat,Lon
304,Durres,,Albania,Rehabilitation,0,0,0,0,0,0,,,Haskoning,,Rubble Mound,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,41.308,19.456
1,Arzew,North breakwater,Algeria,New construction,1250,25,5,1972,1978,1234,Port of Arzew,,,,Rubble Mound,9.8,13.0,14.2,Tetrapod,ton,48.0,1:1.33,rock,ton,4.0,1:2,9.0,0.0,0.0,Major failure during severe storm in 1980,35.82,-0.254
2,Skikda,,Algeria,,0,16,4,0,1973,0,,,,,Rubble Mound,9.0,13.0,0.0,Tetrapod,ton,43.0,1:0,,,0.0,1:0,0.0,0.0,0.0,,36.889,6.92588
12,Arzew,North breakwater,Algeria,Rehabilitation,0,0,0,1986,1986,0,Port of Arzew,Boskalis,Nedeco,,Rubble Mound,0.0,0.0,0.0,Antifer,ton,65.0,1:0,,,0.0,1:0,0.0,0.0,0.0,,35.82,-0.254
282,Alger-Agha,,Algeria,,0,18,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,ton,46.0,1:1.25,,ton,0.0,1:0,5.5,0.0,0.0,,36.769,3.071
283,Algiers,North breakwater,Algeria,,0,33,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,m3,15.0,1:1,,ton,0.0,1:1,5.5,0.0,0.0,,36.781,3.071
351,Oran,,Algeria,,0,20,0,0,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,m3,20.0,1:1,Rock,ton,0.0,1:1.33,0.0,0.0,0.0,Subject to multiple improvements,35.713,-0.6409999999999999
352,Philippeville,,Algeria,,0,15,0,0,1890,0,,,,,Rubble Mound,0.0,0.0,0.0,Cubes,m3,15.0,1:1.5,Rock,ton,0.0,1:1.25,6.0,15.5,0.0,Subject to multiple improvements,36.889,6.925
359,Algiers,Mustapha breakwater,Algeria,,0,0,0,0,1923,0,,,,,Composite,0.0,0.0,0.0,,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,Cyclopean block breakwater,36.766,3.071
389,Arzew,,Algeria,,0,0,0,2009,0,0,,,,,Rubble Mound,0.0,0.0,0.0,Accropode,m3,6.3,1:0,,ton,0.0,1:0,0.0,0.0,0.0,in progress,35.847,-0.266
511,Dande,Dalia UFL spool base jetty,Angola,Reinforcement,300,9,0,2007,0,0,,,,,Rubble Mound,7.0,0.0,16.0,Accropode II,m3,8.0,1:1.5,,ton,0.0,1:0,0.0,0.0,0.0,,-8.465,13.37
3,Porto Quequen,West Breakwater,Argentina,Rehabilitaiton and 500 m extension,11,0,4,0,2007,0,,,,,Rubble Mound,7.2,0.0,15.0,Core-Loc,m3,11.0,1:1.33,,,0.0,1:0,0.0,0.0,0.0,,-38.583,-58.698
326,"Caleta la Mision, Tierra del Fuego",,Argentina,,0,0,0,2001,2001,0,,,COWI,,Rubble Mound,7.5,0.0,0.0,Core-Loc,ton,0.0,1:0,,ton,0.0,1:0,0.0,0.0,0.0,,-53.702,-67.812
408,Rawson,,Argentina,,0,7,0,2001,2003,0,,,,,Rubble Mound,4.7,0.0,16.0,Accropode,m3,3.0,1:1.33,Accropode,m3,0.0,1:0,0.0,0.0,0.0,,-43.342,-65.05
